-1.83,6.30,0.0,1.0
-1.72,5.90,0.0,1.0
-1.57,5.50,0.0,1.0
-1.33,5.12,0.0,1.0
-0.97,4.77,0.0,1.0
-0.60,4.43,0.0,1.0
-0.29,4.08,0.0,1.0
-0.14,3.70,0.0,1.0
-0.14,3.30,0.0,1.0
-0.22,2.90,0.0,1.0
-0.38,2.52,0.0,1.0
-0.66,2.21,0.0,1.0
-1.02,1.96,0.0,1.0
-1.36,1.67,0.0,1.0
-1.60,1.30,0.0,1.0
-1.71,0.90,0.0,1.0
-1.67,0.51,0.0,1.0
-1.46,0.18,0.0,1.0
-1.12,0.00,0.0,1.0
-0.73,-0.03,0.0,1.0
-0.33,-0.01,0.0,1.0
0.07,0.01,0.0,1.0
0.47,0.04,0.0,1.0
0.87,0.09,0.0,1.0
1.27,0.15,0.0,1.0
1.67,0.21,0.0,1.0
2.07,0.25,0.0,1.0
2.47,0.29,0.0,1.0
2.86,0.36,0.0,1.0
3.19,0.55,0.0,1.0
3.37,0.86,0.0,1.0
3.41,1.25,0.0,1.0
3.38,1.65,0.0,1.0
3.36,2.05,0.0,1.0
3.35,2.45,0.0,1.0
3.35,2.85,0.0,1.0
3.35,3.25,0.0,1.0
3.31,3.65,0.0,1.0
3.26,4.05,0.0,1.0
3.23,4.45,0.0,1.0
3.22,4.85,0.0,1.0
3.16,5.21,0.0,1.0
2.96,5.47,0.0,1.0
2.62,5.63,0.0,1.0
2.22,5.77,0.0,1.0
1.82,5.96,0.0,1.0
1.42,6.20,0.0,1.0
1.02,6.42,0.0,1.0
0.62,6.57,0.0,1.0
0.22,6.66,0.0,1.0
-0.18,6.72,0.0,1.0
-0.58,6.75,0.0,1.0
-0.98,6.74,0.0,1.0
-1.38,6.66,0.0,1.0
-1.78,6.40,0.0,1.0
-1.83,6.30,0.0,1.0
-1.72,5.90,0.0,1.0
-1.57,5.50,0.0,1.0
-1.33,5.12,0.0,1.0
-0.97,4.77,0.0,1.0
-0.60,4.43,0.0,1.0
-0.29,4.08,0.0,1.0
-0.14,3.70,0.0,1.0
-0.14,3.30,0.0,1.0
-0.22,2.90,0.0,1.0
-0.38,2.52,0.0,1.0
-0.66,2.21,0.0,1.0
-1.02,1.96,0.0,1.0
-1.36,1.67,0.0,1.0
-1.60,1.30,0.0,1.0
-1.71,0.90,0.0,1.0
-1.67,0.51,0.0,1.0
-1.46,0.18,0.0,1.0
-1.12,0.00,0.0,1.0
-0.73,-0.03,0.0,1.0
-0.33,-0.01,0.0,1.0
0.07,0.01,0.0,1.0
0.47,0.04,0.0,1.0
0.87,0.09,0.0,1.0
1.27,0.15,0.0,1.0
1.67,0.21,0.0,1.0
2.07,0.25,0.0,1.0
2.47,0.29,0.0,1.0
2.86,0.36,0.0,1.0
3.19,0.55,0.0,1.0
3.37,0.86,0.0,1.0
3.41,1.25,0.0,1.0
3.38,1.65,0.0,1.0
3.36,2.05,0.0,1.0
3.35,2.45,0.0,1.0
3.35,2.85,0.0,1.0
3.35,3.25,0.0,1.0
3.31,3.65,0.0,1.0
3.26,4.05,0.0,1.0
3.23,4.45,0.0,1.0
3.22,4.85,0.0,1.0
3.16,5.21,0.0,1.0
2.96,5.47,0.0,1.0
2.62,5.63,0.0,1.0
2.22,5.77,0.0,1.0
1.82,5.96,0.0,1.0
1.42,6.20,0.0,1.0
1.02,6.42,0.0,1.0
0.62,6.57,0.0,1.0
0.22,6.66,0.0,1.0
-0.18,6.72,0.0,1.0
-0.58,6.75,0.0,1.0
-0.98,6.74,0.0,1.0
-1.38,6.66,0.0,1.0
-1.78,6.40,0.0,1.0


