-3.3305906,2.5104351,2.1417677
-3.3230918,2.3139012,2.1846878
-3.2932678,2.1179488,2.2389176
-3.2434268,1.9254338,2.3055049
-3.1766054,1.7400500,2.3807050
-3.0935879,1.5594739,2.4561951
-2.9970274,1.3868017,2.5298413
-2.8879054,1.2215147,2.5977239
-2.7671870,1.0637084,2.6614644
-2.6370008,0.9149919,2.7166925
-2.4968872,0.7740495,2.7696440
-2.3490923,0.6426117,2.8142913
-2.1931846,0.5198679,2.8566845
-2.0305564,0.4067074,2.8938372
-1.8613836,0.3030976,2.9286565
-1.6867734,0.2096280,2.9611686
-1.5064924,0.1261829,2.9932925
-1.3228341,0.0537453,3.0252582
-1.1334662,-0.0085148,3.0609560
-0.9425170,-0.0592588,3.0983165
-0.7477768,-0.0991368,3.1408298
-0.5510773,-0.1277480,3.1869018
-0.3558846,-0.1449409,3.2357736
-0.1555882,-0.1513134,3.2892630
0.0426317,-0.1466957,3.3441428
0.2386046,-0.1317149,3.4003572
0.4345435,-0.1064107,3.4571620
0.6287894,-0.0708139,3.5123841
0.8199122,-0.0255268,3.5640142
1.0098408,0.0294666,3.6111848
1.1987072,0.0942726,3.6538969
1.3814853,0.1671032,3.6898283
1.5613495,0.2489789,3.7210660
1.7393723,0.3404584,3.7491796
1.9098374,0.4382792,3.7717344
2.0776231,0.5447729,3.7783644
2.2403872,0.6582697,3.7634135
2.3977685,0.7781614,3.7143537
2.5509894,0.9053005,3.6497837
2.6976085,1.0376342,3.5829347
2.8396245,1.1769870,3.5155732
2.9747780,1.3212617,3.4428343
3.1042210,1.4717798,3.3689221
3.2267526,1.6274170,3.2890596
3.3423808,1.7884948,3.2071862
3.4504796,1.9546631,3.1201162
3.5505024,2.1257845,3.0303422
3.6417637,2.3016966,2.9364624
3.7235002,2.4823753,2.8408664
3.7945109,2.6671011,2.7437596
3.8539358,2.8565084,2.6501531
3.8999057,3.0484889,2.5580914
3.9313589,3.2448630,2.4788354
3.9459106,3.4417034,2.4042920
3.9418152,3.6405830,2.3513006
3.9174587,3.8371291,2.2892791
3.8716256,4.0293823,2.2142358
3.8027403,4.2160250,2.1265997
3.7109288,4.3902207,2.0386843
3.5937686,4.5505432,1.9696857
3.4520347,4.6902780,1.9431675
3.2908912,4.8043710,1.9380356
3.1155493,4.8929520,1.9314356
2.9284500,4.9613874,1.9121813
2.7395380,5.0152199,1.8852368
2.5488956,5.0572220,1.9190020
2.3528786,5.0781741,1.9695801
2.1533922,5.0701991,2.0149111
1.9575651,5.0320482,2.0576312
1.7713955,4.9686413,2.1176949
1.5912396,4.8853031,2.2114819
1.4171171,4.7887794,2.3418107
1.2485793,4.6858630,2.5128430
1.0806393,4.5796753,2.6905150
0.9124029,4.4748473,2.8751984
0.7415882,4.3742647,3.0149209
0.5669404,4.2807096,3.1272106
0.3876751,4.1968170,3.1528137
0.2032649,4.1249947,3.1593185
0.0139622,4.0658528,3.1459600
-0.1785303,4.0186135,3.1381537
-0.3736168,3.9827299,3.1351129
-0.5704561,3.9578828,3.1472088
-0.7686158,3.9433141,3.1602416
-0.9656514,3.9388388,3.1740045
-1.1651626,3.9438789,3.0194412
-1.3631545,3.9537876,2.8408602
-1.5596101,3.9618659,2.6385006
-1.7594321,3.9609041,2.4375719
-1.9569100,3.9461094,2.2641862
-2.1510184,3.9131561,2.1280212
-2.3406406,3.8586103,2.0365691
-2.5231446,3.7819040,1.9876899
-2.6942968,3.6830643,1.9494366
-2.8503630,3.5621170,1.9683865
-2.9884421,3.4206000,2.0062782
-3.1061448,3.2609073,2.0328170
-3.2004892,3.0868356,2.0552597
-3.2695972,2.9023663,2.0816230
-3.3131003,2.7091188,2.0963195
-3.3305906,2.5104351,2.1417677
