-0.8840394,3.5698335,2.4126731
-0.8536455,3.3746419,2.4484974
-0.8441339,3.1774531,2.4689942
-0.8537706,2.9776651,2.4908606
-0.8812954,2.7799117,2.5257206
-0.9241644,2.5861389,2.6241325
-0.9787284,2.3941933,2.7495420
-1.0398689,2.2049711,2.9048781
-1.1031261,2.0155317,2.8133596
-1.1629414,1.8254469,2.6518505
-1.2134917,1.6344210,2.4307073
-1.2495989,1.4367453,2.2325004
-1.2633681,1.2371849,2.0767581
-1.2502376,1.0391563,1.9705489
-1.2120603,0.8452023,1.9046740
-1.1588525,0.6561350,1.8957315
-1.1004194,0.4692796,1.9102620
-1.0319995,0.2844103,1.9018542
-0.9413820,0.1072071,1.9049510
-0.8228443,-0.0549829,1.9240492
-0.6793702,-0.1928548,1.9768893
-0.5158643,-0.3033321,2.0103314
-0.3340820,-0.3873489,2.0397568
-0.1441388,-0.4433086,2.0718270
0.0520661,-0.4750827,2.1077563
0.2515412,-0.4853812,2.1467193
0.4493476,-0.4771626,2.2094445
0.6481353,-0.4527423,2.2783101
0.8424437,-0.4146771,2.3672347
1.0355499,-0.3637050,2.4573717
1.2242571,-0.3014947,2.5508772
1.4094177,-0.2282998,2.6424529
1.5903137,-0.1445170,2.7220734
1.7655432,-0.0507161,2.7971244
1.9356651,0.0537722,2.8570611
2.0984557,0.1681289,2.9095282
2.2535501,0.2928447,2.9493868
2.4000576,0.4284171,2.9801454
2.5344626,0.5718085,3.0047510
2.6612118,0.7276440,3.0225785
2.7752532,0.8895774,3.0405947
2.8778447,1.0582027,3.0596510
2.9704098,1.2353698,3.0874341
3.0511581,1.4166385,3.1230246
3.1209874,1.6019236,3.1670652
3.1806373,1.7912886,3.2197286
3.2302694,1.9834797,3.2800738
3.2700384,2.1773801,3.3434358
3.2999682,2.3734511,3.4081239
3.3199473,2.5728988,3.4729225
3.3296802,2.7691674,3.5340549
3.3299503,2.9680123,3.5913472
3.3207663,3.1685336,3.6451470
3.3027588,3.3646395,3.6880900
3.2755934,3.5628482,3.7263053
3.2400760,3.7579219,3.7531366
3.1960184,3.9521178,3.7716380
3.1437956,4.1443140,3.7817762
3.0838456,4.3337224,3.7539180
3.0159801,4.5212304,3.7070295
2.9408826,4.7050458,3.6628988
2.8580737,4.8863604,3.6195407
2.7682460,5.0635551,3.5730445
2.6710375,5.2373161,3.5260374
2.5668807,5.4067222,3.4732445
2.4557894,5.5716101,3.4199370
2.3376388,5.7318794,3.3598986
2.2130134,5.8864433,3.2994534
2.0810957,6.0358823,3.2321566
1.9430472,6.1784002,3.1640933
1.7975566,6.3147561,3.0894106
1.6460749,6.4429061,3.0130536
1.4872199,6.5632309,2.9302186
1.3222786,6.6738094,2.8441649
1.1504483,6.7741561,2.7518702
0.9724247,6.8626253,2.6551964
0.7886459,6.9375802,2.5543613
0.5985628,6.9974616,2.4610349
0.4052096,7.0392678,2.3705578
0.2061609,7.0608804,2.2749258
0.0079164,7.0593980,2.1815259
-0.1892465,7.0328850,2.0943800
-0.3815010,6.9798496,2.0222108
-0.5618412,6.9000168,1.9602346
-0.7293227,6.7906796,1.9161410
-0.8766959,6.6545486,1.9100775
-1.0008988,6.4994678,1.9087448
-1.1073986,6.3342986,1.8767631
-1.2104600,6.1695001,1.8461210
-1.3175615,6.0046950,1.8355021
-1.4126669,5.8249418,1.8518946
-1.4745635,5.6396432,1.8978113
-1.5054111,5.4403475,1.9447324
-1.5017831,5.2414876,1.9925491
-1.4677355,5.0455876,2.0460168
-1.4100122,4.8552754,2.1181024
-1.3361897,4.6706505,2.2346907
-1.2529147,4.4891940,2.3947506
-1.1668713,4.3103919,2.5609938
-1.0820674,4.1297892,2.6634507
-1.0030550,3.9457803,2.5797649
-0.9355300,3.7603046,2.4542546
-0.8840394,3.5698335,2.4126731
